time,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
2.84,0.000940643,0,26.7575,0,0,0,0,0,0,0.00278306,0,-867.366
2.85,0.000940244,0,26.8443,0,0,0,0,0,0,0.00279247,0,-867.099
2.86,0.000939844,0,26.931,0,0,0,0,0,0,0.00280187,0,-866.83
2.87,0.000939444,0,27.0176,0,0,0,0,0,0,0.00281127,0,-866.561
2.88,0.000939042,0,27.1041,0,0,0,0,0,0,0.00282067,0,-866.291
2.89,0.000938639,0,27.1906,0,0,0,0,0,0,0.00283006,0,-866.02
2.9,0.000938234,0,27.277,0,0,0,0,0,0,0.00283944,0,-865.748
2.91,0.000937829,0,27.3633,0,0,0,0,0,0,0.00284882,0,-865.475
2.92,0.000937423,0,27.4496,0,0,0,0,0,0,0.0028582,0,-865.201
2.93,0.000937015,0,27.5357,0,0,0,0,0,0,0.00286758,0,-864.927
2.94,0.000936607,0,27.6218,0,0,0,0,0,0,0.00287695,0,-864.652
2.95,0.000936197,0,27.7078,0,0,0,0,0,0,0.00288631,0,-864.375
2.96,0.000935786,0,27.7938,0,0,0,0,0,0,0.00289568,0,-864.098
2.97,0.000935374,0,27.8796,0,0,0,0,0,0,0.00290503,0,-863.82
2.98,0.000934961,0,27.9654,0,0,0,0,0,0,0.00291439,0,-863.542
2.99,0.000934547,0,28.0512,0,0,0,0,0,0,0.00292374,0,-863.262
3,0.000934132,0,28.1368,0,0,0,0,0,0,0.00293308,0,-862.981
3.01,0.000933716,0,28.2224,0,0,0,0,0,0,0.00294242,0,-862.7
3.02,0.000933298,0,28.3078,0,0,0,0,0,0,0.00295176,0,-862.418
3.03,0.00093288,0,28.3933,0,0,0,0,0,0,0.00296109,0,-862.135
3.04,0.000932461,0,28.4786,0,0,0,0,0,0,0.00297042,0,-861.851
3.05,0.00093204,0,28.5638,0,0,0,0,0,0,0.00297975,0,-861.566
3.06,0.000931618,0,28.649,0,0,0,0,0,0,0.00298907,0,-861.28
3.07,0.000931196,0,28.7341,0,0,0,0,0,0,0.00299838,0,-860.994
3.08,0.000930772,0,28.8191,0,0,0,0,0,0,0.0030077,0,-860.707
3.09,0.000930347,0,28.9041,0,0,0,0,0,0,0.003017,0,-860.418
3.1,0.000929921,0,28.989,0,0,0,0,0,0,0.00302631,0,-860.129
3.11,0.000929494,0,29.0738,0,0,0,0,0,0,0.00303561,0,-859.839
3.12,0.000929066,0,29.1585,0,0,0,0,0,0,0.0030449,0,-859.549
3.13,0.000928637,0,29.2431,0,0,0,0,0,0,0.00305419,0,-859.257
3.14,0.000928207,0,29.3277,0,0,0,0,0,0,0.00306348,0,-858.965
3.15,0.000927776,0,29.4121,0,0,0,0,0,0,0.00307276,0,-858.671
3.16,0.000927344,0,29.4965,0,0,0,0,0,0,0.00308204,0,-858.377
3.17,0.000926911,0,29.5809,0,0,0,0,0,0,0.00309131,0,-858.082
3.18,0.000926477,0,29.6651,0,0,0,0,0,0,0.00310058,0,-857.787
3.19,0.000926041,0,29.7493,0,0,0,0,0,0,0.00310985,0,-857.49
3.2,0.000925605,0,29.8333,0,0,0,0,0,0,0.00311911,0,-857.192
3.21,0.000925168,0,29.9174,0,0,0,0,0,0,0.00312836,0,-856.894
3.22,0.000924729,0,30.0013,0,0,0,0,0,0,0.00313761,0,-856.595
3.23,0.00092429,0,30.0851,0,0,0,0,0,0,0.00314686,0,-856.295
3.24,0.00092385,0,30.1689,0,0,0,0,0,0,0.0031561,0,-855.994
3.25,0.000923408,0,30.2526,0,0,0,0,0,0,0.00316534,0,-855.692
3.26,0.000922966,0,30.3362,0,0,0,0,0,0,0.00317458,0,-855.39
3.27,0.000922522,0,30.4197,0,0,0,0,0,0,0.00318381,0,-855.086
3.28,0.000922078,0,30.5032,0,0,0,0,0,0,0.00319303,0,-854.782
3.29,0.000921633,0,30.5865,0,0,0,0,0,0,0.00320225,0,-854.477
3.3,0.000921186,0,30.6698,0,0,0,0,0,0,0.00321147,0,-854.171
